Name,Age,Info
Abbas Kiarostami,76,"Iranian film director and screenwriter (Close-Up, Taste of Cherry, Certified Copy), gastrointestinal cancer"
Abdul Sattar Edhi,88,"Pakistani philanthropist, social activist, ascetic and humanitarian, founder of the Edhi Foundation"
Abe Goldberg,87,Polish-born Australian executive
Abner Mikva,90,"American politician and judge, member of the United States House of Representatives from Illinois's 2nd and 10th congressional districts (1969–1973, 1975–1979), U.S. Court of Appeals for the D.C. Circuit (1979–1994), complications from bladder cancer"
Abu Omar al-Shishani,30,"Soviet-born Georgian ISIS militant, airstrike"
Abu Wardah,39,"Indonesian militant leader (Mujahidin Indonesia Timur), shot by police"
Achille Casanova,74,Swiss politician
Adolph Bachmeier,78,Romanian-born American footballer
Adrian Monger,83,"Australian rower, Olympic bronze medalist (1956)"
Agata Karczmarek,52,"Polish Olympic gymnast (1980) and long jumper (1988, 1992, 1996)"
Agha Nasir,79,Indian-born Pakistani broadcaster
Alan Brice,78,American baseball player (Chicago White Sox)
Alan Goldberg,75,"Australian jurist, Judge of the Federal Court (1997–2010)"
Alan Vega,78,American singer and musician (Suicide)
Alastair Duncan,63,"British army officer, Chief of Staff for UNAMSIL (2001), perforated ulcer"
Aldo Monti,87,Mexican actor
Alfred G. Knudson,93,American geneticist
Alina Surmacka Szczesniak,91,Polish-born American food scientist
Alirio Díaz,92,Venezuelan classical guitarist and composer
Allan Barnes,66,"American jazz saxophonist (The Blackbyrds), heart attack"
Alphie McCourt,75,Irish-American writer
Alvera Mickelsen,97,"American academic and Christian woman's advocate, co-founder of Christians for Biblical Equality"
Amal Dutta,86,Indian football player and manager
Amnon Linn,92,"Israeli politician, member of the Knesset (1967–1969, 1973–1988)"
Anatoli Isayev,83,"Russian football player and manager, Olympic champion (1956)"
Andrzej Grabarczyk,52,"Polish Olympic triple jumper (1988, 1992)"
András Hajnal,85,Hungarian mathematician
André Isoir,81,French organist
Angelika Schrobsdorff,88,German writer
Anita Reeves,68,"Irish actress (Dancing at Lughnasa, Little Gem), cancer"
Anna Marchesini,62,"Italian actress, voice actress and comedian, rheumatoid arthritis"
Anne Balfour-Fraser,92,British film producer
Anne Hepburn,90,Scottish missionary and teacher
Anthony D. Smith,76,British historical sociologist
Antonio Armstrong,42,"American football player (Miami Dolphins, BC Lions), shot"
Antony Copley,79,British historian
Antonín Rükl,83,Czech astronomer
Anwar Ali Cheema,81,Pakistani politician
Aníbal José Chávez Frías,60,"Venezuelan politician, Mayor of Sabaneta (since 2004)"
Arlene Buszka,82,American baseball player (AAGPBL)
Armando León Bejarano,100,"Mexican politician, Governor of Morelos (1976–1982)"
Artur Correia,66,"Portuguese footballer (Benfica, Sporting, national team), stroke"
Arturo,31,American-born Argentine polar bear
Arundhati Ghose,76,"Indian diplomat, ambassador to the UN-Geneva, South Korea and Egypt, cancer"
Athanasius Atule Usuh,67,"Nigerian Roman Catholic prelate, Bishop of Makurdi (1989–2015)"
Atilio López,91,Paraguayan football player and coach
Atilla Manizade,82,Turkish opera singer
Beatrice de Cardi,102,"British archaeologist, complications from a fall"
Ben Koufie,84,"Ghanaian football player, manager and administrator"
