Name,Age,Info
A. Deivanayagam,88,"Indian politician, Tamil Nadu MLA (1984–1989, 1991–2001)"
A. Kimball Romney,98,"American social sciences professor (University of California, Irvine), co-founder of cognitive anthropology"
Aatqall Taúaa,74,"Iraqi sculptor, film critic and novelist"
Abang Abu Bakar,82,"Malaysian politician, MP (1982–1999)"
Abdelhafid Kadiri,96,"Moroccan politician, minister of youth and sport (1977–1981)"
Abderrahim Ouakili,53,"Moroccan footballer (Mainz 05, Karlsruher SC, national team)"
Abdul Malik,94,"Bangladeshi cardiac surgeon, minister of health and family welfare (2001), national professor (since 2006)"
Abdulaziz Al-Babtain,87,Kuwaiti poet
Abubakar Siddique,89,"Bangladeshi poet, writer and critic"
Adriano Marques de Magallanes,98,"Spanish businessman, diplomat and politician, deputy (1986–1989) and senator (1998–2000)"
Ahmad Salim,78,Pakistani poet and literary scholar
Aki Yashiro,73,"Japanese singer, interstitial pneumonia"
Alain Chartrand,77,Canadian film director (Ding et Dong) and screenwriter
Alain Laurier,79,French Olympic football player (1968) and manager (Istres)
Alan Longhurst,98,British-born Canadian oceanographer
Alan Raph,90,"American trombonist, composer and arranger, traffic collision"
Albert Stone,95,American businessman and philanthropist
Alberto Ruz Buenfil,78,Mexican environmental activist
Alda Grimaldi,104,Italian television director and actress
Aleksandr Dronov,77,Russian chess grandmaster
Aleksei Chernavskii,85,Russian mathematician
Alexei Starobinsky,75,Russian astrophysicist and cosmologist (Starobinsky inflation)
Alfredo Bonanno,86,Italian anarchist
Alice Parker,98,"American composer, arranger, and choral conductor"
Allen Kerr,97,Scottish-born Australian biologist
Ama Bame Busia,87,"Ghanaian politician, member of the Council of State (2001–2009)"
Amerigo Thodé,73,"Curaçaoan politician, president of the Parliament (2012, 2017)"
Amir Banoo Karimi,92,"Iranian academic, pulmonary heart disease"
Amira Hess,80,"Israeli poet, cancer"
Amos Ettinger,86,"Israeli poet, songwriter, and radio presenter"
Amp Fiddler,65,"American musician (Enchantment, Parliament, Funkadelic), composer, and record producer"
Ana Ofelia Murguía,90,"Mexican actress (The Queen of the Night, Nobody Will Speak of Us When We're Dead, Coco)"
Anda Caropol,84,Romanian actress (The Snails' Senator)
Andre Braugher,61,"American actor (Homicide: Life on the Street, Brooklyn Nine-Nine, Glory), Emmy winner (1998, 2006), lung cancer"
Andrea Barberi,44,Italian sprinter
Andrea Fay Friedman,53,"American actress (Life Goes On), complications from Alzheimer's disease"
Andy Brandt,85,"Canadian politician, Ontario MPP (1981–1990)"
Andy Clements,68,"English footballer (York City, Bolton Wanderers, Port Vale)"
Ann Elizabeth Carson,94,Canadian poet
Ann Newdigate,89,South African-born Canadian fibre artist
Anthony Dias Blue,82,American author and columnist
Antonio Burgos,80,"Spanish journalist, novelist, and multi-media writer"
Antonio Juliano,80,"Italian footballer (Napoli, Bologna, national team)"
Antonio Negri,90,"Italian philosopher (Empire) and politician, deputy (1983–1987) and founder of Potere Operaio"
Anup Ghoshal,78,Indian playback singer and film composer (Sagina Mahato)
Arfanul Haque Rifat,65,"Bangladeshi politician, mayor of Cumilla (since 2022)"
Armando Guadiana Tijerina,77,"Mexican politician, member of the Congress of Coahuila (1973–1976) and senator (since 2018), prostate cancer"
Armando Sardi,83,Italian Olympic sprinter (1960)
Arno J. Mayer,97,Luxembourgish-born American historian
Arve Johnsen,89,"Norwegian politician and industrial executive, chief executive of Statoil (1972–1987)"
Atiqur Rahman,92,"Bangladeshi lieutenant general, chief of army staff (1986–1990) and director general of Bangladesh Rifles (1977–1982), heart attack"
Avraham Avi-hai,92,"Israeli civil servant, journalist and author"
Babken Ararktsyan,79,"Armenian politician, president of the National Assembly (1995–1998) and chairman of the Supreme Council (1991–1995)"
Badar uz Zaman,83,Pakistani classical singer
Bandit,38,"Thai drag queen (Drag Race Thailand), costume designer, and stylist"
Barbara Iglewski,85,American microbiologist
Barbara Levick,92,British historian and epigrapher
Beatriz Abril de Leal,84,"Colombian politician and lawyer, governor of Meta Department (1983–1984)"
Benjamin Kiplagat,34,"Ugandan Olympic long-distance runner (2008, 2012, 2016), stabbed"
Benjamin Zephaniah,65,"British poet, writer (Face, Refugee Boy) and actor (Peaky Blinders), brain tumour"
Bent Fuglede,98,Danish mathematician
Bernard Bem,87,"Polish footballer (Ruch Chorzów, BKS STAL)"
Bernd Siebert,74,"German politician, MP (1994–2009, 2010–2017, 2020–2021)"
Bernie Fagan,74,"English footballer (Los Angeles Aztecs, Portland Timbers)"
Bert Peletier,86,Dutch mathematician
Bert Stenfeldt,90,Swedish Air Force officer
Betty Cooper Hearnes,96,"American politician, first lady of Missouri (1965–1973) and member of the Missouri House of Representatives (1979–1989)"
Bhavani Shankar,66,"Indian pakhawaj drum player, cardiac arrest"
Bijan Allipour,74,"Iranian petroleum executive, chairman of NISOC (2014–2018)"
Bill Burgess,82,American football player (Auburn Tigers) and coach (Jacksonville State)
Bill Granger,54,"Australian chef and food writer (The Independent), cancer"
Bill McColl,93,American football player (Chicago Bears)
Bill Voss,80,"American baseball player (Chicago White Sox, California Angels, Milwaukee Brewers)"
Bjørn Skogstad Aamo,77,"Norwegian politician and economist, director of the Financial Supervisory Authority of Norway (1993–2011)"
Bo Larsson,79,"Swedish footballer (Malmö, VfB Stuttgart, national team)"
Bob Allen,86,American baseball player (Cleveland Indians)
Bob Johnson,79,"British guitarist, singer and songwriter (Steeleye Span)"
Bob Panasik,82,Canadian golfer
Bobby Rivers,70,"American television personality (WISN-TV, WPIX, VH1), cancer"
Bonda Mani,60,"Indian actor (Muthu, Sundara Travels, Winner) and comedian, kidney failure"
Boro Jovanović,84,Croatian tennis player
Bram Inscore,41,"American musician, songwriter (""Youth"", ""Don't Give Up on Me"") and producer, suicide"
Brian Price,86,"Welsh rugby union player (Newport, British Lions, national team)"
Brigit Forsyth,83,"Scottish actress (Whatever Happened to the Likely Lads?, Boon, Still Open All Hours)"
Bronislovas Genzelis,89,"Lithuanian politician, MP (1992–1996) and signatory of the Act of Re-Establishment"
Bruce Dickson,92,"Canadian ice hockey player, Olympic champion (1952)"
Bruce Gilberd,85,"New Zealand Anglican clergyman, bishop of Auckland (1985–1994)"
Bruno Santon,81,"Italian footballer (Venezia, Livorno, Lucchese)"
Bryan Ansell,68,British game designer (Warhammer)
Bryan Thomas,95,English architect
Burny Bos,79,"Dutch film producer (Miss Minoes, Mijn Franse tante Gazeuse), screenwriter and children's author, mesothelioma"
Cale Yarborough,84,"American Hall of Fame racing driver and founder of Cale Yarborough Motorsports, NASCAR Cup Series champion (1976, 1977, 1978)"
Camden Toy,68,"American actor (The Bay, Buffy the Vampire Slayer, ChromeSkull: Laid to Rest 2) and film editor, pancreatic cancer"
Camille Huyghe,93,French racing cyclist
Camillus Perera,84,Sri Lankan cartoonist
Cari Beauchamp,74,"American author, journalist, and documentary filmmaker"
Carissa Etienne,71,"Dominican physician, director of PAHO (2018–2023)"
Carl Barzilauskas,72,"American football player (New York Jets, Green Bay Packers)"
Carl Webb,42,"Australian rugby league player (Brisbane Broncos, North Queensland Cowboys, national team), complications from amyotrophic lateral sclerosis"
Carles Soler Perdigó,91,"Spanish Roman Catholic prelate, auxiliary bishop of Barcelona (1991–2001) and bishop of Girona (2001–2008)"
Carlos Eugenio Vides Casanova,86,"Salvadoran military officer, head of the national guard (1979–1983) and minister of national defense (1983–1989)"
Carlos Jurado,76,"Uruguayan football player (national team) and manager (Cienciano, Tampico Madero), cardiac arrest"
Carlos Lyra,90,"Brazilian singer and composer (""Maria Ninguém"")"
Carlos Pulido,52,Venezuelan baseball player (Minnesota Twins)
Carmen Barros,98,"Chilean actress (La Fiebre del Loco, The Guest), singer and theatre director"
Charles A. Legge,93,"American jurist, judge (1984–2001) and of the U.S. District Court for Northern California"
Charles Officer,48,"Canadian film director (Nurse.Fighter.Boy, Unarmed Verses, Akilla's Escape), screenwriter and actor"
Charlie Allan,84,"Scottish farmer, athlete and economist"
Chen Lip Keong,75,"Malaysian gambling industry executive, founder of NagaCorp"
Chen Wen-hui,80,"Taiwanese educator and politician, member of the Legislative Yuan (1996–1999), liver cancer"
Cheri Barry,68,"American politician, mayor of Meridian, Mississippi (2009–2013)"
Chua Jui Meng,80,"Malaysian politician, minister of health (1995–2004) and MP (1986–2008), heart attack"
Chuck Harrison,82,"American baseball player (Houston Astros, Kansas City Royals)"
Chuck Stern,44,"American composer, musician (Time of Orchids), and writer"
Chukwuemeka Ezeife,86,"Nigerian politician, governor of Anambra State (1992–1993)"
Cilly Dartell,66,"Dutch television presenter (Hart van Nederland) and actress, lung cancer"
Cindy Morgan,69,"American actress (Tron, Caddyshack, Falcon Crest)"
Clarence Kelly,82,"American sedevacantist traditionalist Catholic prelate, superior general of the Society of Saint Pius V (since 1983), cancer"
Claude Engle,85,American electrical engineer
Clyde Berry,92,American football and baseball player and coach (Henderson State)
Clyde Butts,66,"Guyanese cricketer (West Indies), traffic collision"
Colin Burgess,77,"Australian rock drummer (The Masters Apprentices, AC/DC)"
